Age,Annual_Income,Credit_Score,Years_at_Job,Existing_Loans,DTI_Ratio
56,33913,372,6,3,0.39
69,85143,748,16,2,0.6
46,63959,770,36,2,0.46
32,58334,455,13,3,0.17
60,31220,609,3,2,0.48
25,31428,335,21,0,0.2
38,72763,547,16,2,0.57
56,62293,727,34,0,0.23
36,61302,343,31,0,0.33
40,69080,752,37,0,0.51
28,22734,418,30,0,0.58
28,99466,648,24,3,0.18
41,50113,687,9,4,0.13
70,107454,369,1,4,0.5
53,21934,753,26,0,0.53
57,79579,566,11,4,0.4
41,79204,737,15,0,0.19
20,28479,665,15,4,0.18
39,43493,486,2,1,0.33
70,35250,526,24,2,0.2
19,92189,360,17,4,0.27
41,69873,467,38,0,0.5
61,133175,431,39,2,0.15
47,66268,454,31,2,0.25
55,86346,306,2,3,0.3
19,107581,822,7,3,0.21
38,79000,550,4,4,0.45
50,49410,561,19,3,0.33
29,45019,419,24,0,0.57
39,57534,347,5,3,0.27
61,89169,368,27,1,0.56
42,40820,561,22,4,0.38
66,82956,744,23,2,0.37
44,70355,778,9,2,0.22
59,31995,530,9,1,0.57
45,80964,523,32,0,0.26
33,64277,756,8,2,0.37
32,45466,665,17,1,0.57
64,63813,327,2,3,0.53
68,46359,400,32,4,0.25
61,67767,357,9,1,0.5
72,55051,323,26,1,0.44
69,27862,714,34,3,0.12
74,55881,526,17,0,0.35
20,47985,468,6,3,0.31
54,82272,788,6,3,0.43
68,92956,545,21,2,0.45
24,46420,662,9,1,0.45
38,40348,764,26,1,0.33
26,25846,729,3,3,0.57
56,39854,720,11,3,0.14
35,50938,320,2,1,0.42
21,30649,668,2,1,0.32
42,93579,763,24,1,0.22
31,68260,396,25,0,0.17
67,56375,791,39,3,0.33
26,59377,652,6,3,0.25
43,69774,394,33,2,0.21
70,82170,323,9,2,0.12
19,89724,679,2,4,0.26
37,51299,695,27,1,0.57
45,55772,703,10,1,0.37
64,65282,432,31,4,0.22
24,54645,353,7,3,0.59
61,92610,591,19,1,0.43
25,110598,411,4,2,0.35
64,71113,721,12,0,0.57
52,38021,430,10,3,0.49
31,77203,719,33,0,0.37
34,72536,577,2,0,0.1
53,36460,367,14,4,0.31
67,72496,702,32,0,0.5
57,45611,474,9,1,0.24
21,86946,579,2,4,0.13
