Age,Annual_Income,Credit_Score,Years_at_Job,Existing_Loans,DTI_Ratio,Prediction,Risk_Probability,Default_status
56,40144,842,8,0,0.19,No Default,0.025946308,0
69,71380,536,9,4,0.33,Default,0.582792001,1
46,96316,365,16,0,0.12,No Default,0.117792538,0
32,11001,369,11,1,0.5,Default,0.763159109,1
60,56725,746,5,1,0.54,No Default,0.246557984,0
25,57849,715,18,1,0.44,No Default,0.188053319,0
38,48725,831,28,3,0.23,No Default,0.120345388,0
56,69622,740,5,4,0.16,No Default,0.169179241,0
36,83179,763,24,0,0.29,No Default,0.041184171,0
40,64281,695,23,0,0.52,No Default,0.182429743,0
28,49666,694,24,1,0.27,No Default,0.111622828,0
28,82150,625,15,4,0.12,No Default,0.212066946,0
41,61360,390,15,4,0.24,Default,0.682121801,1
70,53351,369,5,2,0.59,Default,0.844024378,1
53,31065,465,36,4,0.44,Default,0.846202878,1
57,27410,513,20,4,0.55,Default,0.880136829,1
41,30772,634,3,0,0.49,No Default,0.267907573,0
20,68814,668,33,4,0.37,No Default,0.459124043,0
39,57552,348,27,4,0.17,Default,0.670445657,1
70,28562,351,37,0,0.27,No Default,0.394451122,0
19,82698,588,27,4,0.39,Default,0.550873486,1
41,119032,538,16,0,0.54,No Default,0.241079516,0
61,44389,432,13,2,0.23,No Default,0.426115646,0
47,25072,465,6,3,0.16,No Default,0.462527353,0
55,42000,673,21,0,0.38,No Default,0.140070318,0
19,91787,672,0,0,0.19,No Default,0.035379439,0
38,78768,777,28,4,0.41,No Default,0.346068244,0
50,37751,778,30,0,0.23,No Default,0.046895428,0
29,128102,599,29,1,0.22,No Default,0.067980793,0
39,117493,381,14,1,0.3,No Default,0.275490265,0
61,41502,386,17,2,0.4,Default,0.692435377,1
42,41289,524,34,0,0.37,No Default,0.260015408,0
66,44515,315,29,4,0.22,Default,0.786112031,1
44,46459,657,33,4,0.55,Default,0.737035153,1
59,96304,462,10,3,0.15,No Default,0.287543538,0
45,74062,813,26,2,0.12,No Default,0.041243213,0
33,92831,649,23,4,0.4,No Default,0.456967138,0
32,83849,763,34,3,0.16,No Default,0.088890026,0
64,141105,674,38,4,0.35,No Default,0.270870724,0
68,35253,391,7,3,0.58,Default,0.900842955,1
61,72415,480,17,1,0.45,No Default,0.4338904,0
72,20192,600,12,1,0.41,No Default,0.366472688,0
69,30993,488,23,4,0.39,Default,0.791179594,1
74,57674,613,22,2,0.19,No Default,0.172164885,0
20,73799,792,11,0,0.32,No Default,0.043025492,0
54,56902,427,29,2,0.27,No Default,0.45382754,0
68,45089,818,30,2,0.58,No Default,0.348515733,0
24,49280,725,27,0,0.22,No Default,0.050679444,0
38,118743,486,21,1,0.34,No Default,0.208060393,0
26,49413,849,27,1,0.57,No Default,0.19101045,0
56,143576,752,12,0,0.49,No Default,0.060693935,0
35,89054,770,24,3,0.58,No Default,0.402615245,0
21,75264,523,6,2,0.4,No Default,0.414976185,0
42,32964,453,5,4,0.27,Default,0.700615279,1
31,95570,650,23,1,0.51,No Default,0.239993343,0
67,46775,446,18,4,0.25,Default,0.668239567,1
26,32951,648,18,0,0.18,No Default,0.069409164,0
43,77375,481,35,4,0.45,Default,0.762850152,1
70,29912,478,8,4,0.42,Default,0.819753221,1
19,40899,338,35,2,0.54,Default,0.851040127,1
37,59572,302,37,0,0.58,Default,0.725730381,1
45,181536,363,39,4,0.53,Default,0.751862169,1
64,42469,328,28,1,0.13,No Default,0.342323513,0
24,47614,671,23,0,0.43,No Default,0.160859372,0
61,86350,822,4,1,0.49,No Default,0.111184909,0
25,32236,396,25,3,0.59,Default,0.90428382,1
64,74712,741,13,4,0.29,No Default,0.270070401,0
52,109421,502,38,0,0.18,No Default,0.072790443,0
31,51351,710,28,1,0.53,No Default,0.288134998,0
34,100015,320,5,4,0.26,Default,0.690730863,1
53,69267,401,6,2,0.4,Default,0.601869948,1
67,41550,345,36,1,0.29,Default,0.512158247,1
57,54235,365,17,1,0.3,No Default,0.452246442,0
21,49519,463,22,3,0.47,Default,0.75222886,1
19,57307,410,37,2,0.28,No Default,0.481398377,0
23,64625,637,0,3,0.45,No Default,0.470250776,0
71,80346,422,3,2,0.11,No Default,0.229321066,0
59,77213,746,34,1,0.26,No Default,0.066909728,0
21,17750,590,22,3,0.26,No Default,0.436131646,0
71,57030,711,26,4,0.47,Default,0.564583591,1
46,28149,580,25,2,0.26,No Default,0.316362473,0
35,52163,342,7,1,0.42,Default,0.622195173,1
43,56280,785,15,0,0.44,No Default,0.09116119,0
61,97545,350,2,2,0.43,Default,0.632923037,1
51,58979,509,31,2,0.4,No Default,0.5,1
27,68159,425,4,4,0.31,Default,0.691394549,1
53,89012,791,19,2,0.29,No Default,0.0832999,0
31,110622,808,13,2,0.38,No Default,0.089793122,0
48,56302,557,31,4,0.13,No Default,0.36215091,0
65,62761,487,25,4,0.54,Default,0.849760748,1
32,60174,529,5,3,0.51,Default,0.693873444,1
25,45647,488,35,1,0.27,No Default,0.287234111,0
31,40759,714,39,1,0.38,No Default,0.179242852,0
40,19226,309,4,3,0.57,Default,0.938636381,1
74,34949,413,12,1,0.24,No Default,0.372242282,0
57,24604,375,31,2,0.47,Default,0.803834361,1
38,112150,801,15,3,0.14,No Default,0.051451443,0
33,65789,384,0,3,0.36,Default,0.690117722,1
62,56220,348,12,1,0.54,Default,0.738768301,1
35,41825,794,10,0,0.38,No Default,0.075395991,0
64,60772,686,7,1,0.41,No Default,0.18846136,0
70,39183,688,24,0,0.55,No Default,0.265540515,0
41,65317,517,39,3,0.46,Default,0.659944281,1
43,67701,645,31,0,0.45,No Default,0.169637191,0
42,38921,529,23,2,0.39,Default,0.5,1
62,38552,554,27,4,0.42,Default,0.739623596,1
58,96867,535,13,0,0.5,No Default,0.253710057,0
46,58312,325,2,4,0.59,Default,0.943998328,1
32,40517,560,35,2,0.5,Default,0.593472748,1
62,49749,570,26,4,0.45,Default,0.72800231,1
18,36123,422,19,2,0.17,No Default,0.381637975,0
42,57896,556,14,4,0.51,Default,0.771895456,1
24,90745,720,26,4,0.47,No Default,0.45109062,0
26,59051,558,27,1,0.49,No Default,0.408608369,0
41,195207,346,24,0,0.22,No Default,0.079266375,0
18,73915,824,32,4,0.55,No Default,0.453937071,0
61,67169,507,13,3,0.15,No Default,0.302516342,0
25,38019,610,7,1,0.23,No Default,0.15027047,0
41,53142,448,13,0,0.43,No Default,0.375692929,0
28,40558,737,0,1,0.44,No Default,0.192882577,0
68,20275,454,15,0,0.26,No Default,0.270635998,0
34,97453,389,17,2,0.45,Default,0.604718807,1
25,46363,657,6,4,0.29,No Default,0.424508464,0
52,40937,473,14,3,0.1,No Default,0.350103324,0
52,66521,516,23,1,0.18,No Default,0.153543851,0
50,77361,755,12,1,0.54,No Default,0.201114826,0
22,51001,498,8,1,0.21,No Default,0.203238405,0
59,59796,785,14,1,0.16,No Default,0.040996436,0
56,86950,832,34,4,0.44,No Default,0.299288021,0
58,50006,499,23,0,0.32,No Default,0.222886385,0
45,69645,670,32,4,0.5,Default,0.618071149,1
24,26117,747,15,2,0.53,No Default,0.406697262,0
26,32187,547,7,4,0.52,Default,0.825423467,1
25,81045,563,28,4,0.26,No Default,0.433837978,0
29,31357,357,22,2,0.35,Default,0.690763034,1
51,67310,601,30,4,0.43,Default,0.632561637,1
50,55631,330,39,0,0.26,No Default,0.341321336,0
65,49899,797,13,3,0.12,No Default,0.086962441,0
72,39567,548,29,2,0.35,No Default,0.439422527,0
40,94340,570,38,1,0.11,No Default,0.068341101,0
41,142193,693,26,0,0.58,No Default,0.118440805,0
54,69570,801,15,3,0.5,No Default,0.322325841,0
52,70350,383,5,0,0.2,No Default,0.18780255,0
61,42567,664,32,0,0.24,No Default,0.081400989,0
57,32923,848,17,1,0.59,No Default,0.24009345,0
39,58696,641,15,3,0.29,No Default,0.308457612,0
44,36795,706,11,0,0.49,No Default,0.192237991,0
52,24678,724,19,1,0.32,No Default,0.152787526,0
18,89475,392,39,2,0.53,Default,0.711226629,1
52,91682,711,28,1,0.45,No Default,0.154918883,0
54,38971,731,29,4,0.11,No Default,0.194658617,0
64,67641,458,25,1,0.25,No Default,0.259199645,0
31,98812,313,21,1,0.38,No Default,0.5,1
20,66337,672,32,1,0.56,No Default,0.331554074,0
18,32972,524,38,0,0.15,No Default,0.114417548,0
22,53292,804,28,3,0.4,No Default,0.252486078,0
43,116239,372,21,1,0.25,No Default,0.244179438,0
72,67745,548,12,1,0.54,No Default,0.464396501,0
31,78398,810,8,4,0.48,No Default,0.37226192,0
56,71026,515,23,4,0.28,Default,0.554537831,1
44,39036,840,14,2,0.18,No Default,0.063465084,0
26,43895,519,35,2,0.11,No Default,0.207550772,0
32,70928,520,12,4,0.41,Default,0.684550979,1
32,90078,688,26,3,0.3,No Default,0.209778308,0
43,103772,341,36,2,0.26,No Default,0.434871054,0
59,38985,582,6,3,0.59,Default,0.764466888,1
30,74351,357,7,4,0.33,Default,0.770841915,1
68,108393,836,36,2,0.47,No Default,0.128022839,0
49,36550,372,13,1,0.19,No Default,0.357533603,0
56,125916,428,11,4,0.11,No Default,0.323378356,0
66,135872,725,35,2,0.31,No Default,0.083798573,0
69,222469,424,39,3,0.43,No Default,0.356893181,0
49,67202,366,16,3,0.35,Default,0.707577907,1
21,67387,305,39,2,0.55,Default,0.845650414,1
47,90535,613,28,3,0.32,No Default,0.307802397,0
54,89223,625,26,2,0.26,No Default,0.162371387,0
40,105154,805,0,2,0.56,No Default,0.200338492,0
56,88611,381,33,3,0.3,Default,0.593948726,1
62,56781,301,3,0,0.23,No Default,0.329016973,0
32,110304,503,23,1,0.15,No Default,0.094090732,0
60,35044,703,20,4,0.5,Default,0.657833353,1
46,60049,402,32,1,0.51,Default,0.64580828,1
53,130857,835,6,4,0.12,No Default,0.052296828,0
30,32044,667,0,4,0.28,No Default,0.434668653,0
49,42670,511,2,1,0.47,No Default,0.483180962,0
24,83773,508,14,2,0.57,Default,0.622168761,1
68,72908,416,30,3,0.29,Default,0.578100993,1
39,38657,777,15,0,0.54,No Default,0.16921717,0
45,48625,404,9,0,0.3,No Default,0.29645637,0
19,33176,794,28,0,0.19,No Default,0.035886084,0
59,97757,345,5,1,0.1,No Default,0.177639421,0
62,52683,630,28,1,0.27,No Default,0.152444177,0
74,146690,515,16,2,0.29,No Default,0.181892339,0
70,62351,791,21,0,0.57,No Default,0.151677306,0
23,53644,748,23,2,0.2,No Default,0.094438177,0
45,51102,835,16,0,0.29,No Default,0.038990472,0
45,52992,810,20,1,0.11,No Default,0.030177111,0
61,63285,757,10,3,0.48,No Default,0.369701488,0
61,210281,846,6,3,0.56,No Default,0.101823089,0
37,50542,835,38,3,0.22,No Default,0.113069605,0
47,51370,839,4,3,0.31,No Default,0.153405337,0
